user_id,Question,selected_Answer,selected_type,test_time,Pligt-Preben,Præstations-Preben,Perfektionist-Preben,Pyt-Preben
f5649826-cfe5-11ee-a457-574b9fcf517c,Der bliver annonceret en udklædningsdag på arbejde. Hvad er din strategi?,"Du vælger et inkluderende tema, der opfordrer til teamwork og samarbejde.",Pligt-Preben,2024-02-22 12:23:05.498889,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Din favorit café løber tør for din yndlingskage. Hvordan reagerer du?,Du ser det som en mulighed for at udforske og bedømme caféens øvrige udvalg.,Præstations-Preben,2024-02-22 12:23:05.498889,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Du finder en stor edderkop i dit hus. Hvad er din første reaktion?,Du ser det som en udfordring og bruger straks en effektiv metode til at fange og udsætte edderkoppen.,Præstations-Preben,2024-02-22 12:23:05.498889,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Du skal give en uventet præsentation på arbejde. Hvordan forbereder du dig?,Du improviserer og stoler på din evne til at tale under pres.,Pyt-Preben,2024-02-22 12:23:05.498889,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Din yndlingsserie slutter med en skuffende finale. Hvordan reagerer du?,Du søger efter fan-teorier og alternative afslutninger online for at finde trøst.,Pligt-Preben,2024-02-22 12:23:05.498889,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Der bliver annonceret en udklædningsdag på arbejde. Hvad er din strategi?,"Du vælger et inkluderende tema, der opfordrer til teamwork og samarbejde.",Pligt-Preben,2024-02-22 12:24:15.434140,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Din favorit café løber tør for din yndlingskage. Hvordan reagerer du?,Du ser det som en mulighed for at udforske og bedømme caféens øvrige udvalg.,Præstations-Preben,2024-02-22 12:24:15.434140,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Du finder en stor edderkop i dit hus. Hvad er din første reaktion?,Du ser det som en udfordring og bruger straks en effektiv metode til at fange og udsætte edderkoppen.,Præstations-Preben,2024-02-22 12:24:15.434140,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Du skal give en uventet præsentation på arbejde. Hvordan forbereder du dig?,Du improviserer og stoler på din evne til at tale under pres.,Pyt-Preben,2024-02-22 12:24:15.434140,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Din yndlingsserie slutter med en skuffende finale. Hvordan reagerer du?,Du søger efter fan-teorier og alternative afslutninger online for at finde trøst.,Pligt-Preben,2024-02-22 12:24:15.434140,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Der bliver annonceret en udklædningsdag på arbejde. Hvad er din strategi?,Du finder det mest originale og humoristiske kostume for at vinde konkurrencen.,Præstations-Preben,2024-02-22 12:24:48.123487,1,3,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Din favorit café løber tør for din yndlingskage. Hvordan reagerer du?,Du ser det som en mulighed for at udforske og bedømme caféens øvrige udvalg.,Præstations-Preben,2024-02-22 12:24:48.123487,1,3,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Du finder en stor edderkop i dit hus. Hvad er din første reaktion?,Du ser det som en udfordring og bruger straks en effektiv metode til at fange og udsætte edderkoppen.,Præstations-Preben,2024-02-22 12:24:48.123487,1,3,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Du skal give en uventet præsentation på arbejde. Hvordan forbereder du dig?,Du improviserer og stoler på din evne til at tale under pres.,Pyt-Preben,2024-02-22 12:24:48.123487,1,3,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Din yndlingsserie slutter med en skuffende finale. Hvordan reagerer du?,Du søger efter fan-teorier og alternative afslutninger online for at finde trøst.,Pligt-Preben,2024-02-22 12:24:48.123487,1,3,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Der bliver annonceret en udklædningsdag på arbejde. Hvad er din strategi?,"Du vælger et inkluderende tema, der opfordrer til teamwork og samarbejde.",Pligt-Preben,2024-02-22 12:25:40.039444,2,2,0,1
f5649826-cfe5-11ee-a457-574b9fcf517c,Din favorit café løber tør for din yndlingskage. Hvordan reagerer du?,Du ser det som en mulighed for at udforske og bedømme caféens øvrige udvalg.,Præstations-Preben,2024-02-22 12:25:40.039444,2,2,0,1
